图号,图名,图类型,对象,分类或日期,系列,数值,单位,口径说明,来源,核验日期
S1,六项条件人工打分,分组柱,居猫夫人,居猫夫人,已对接,2,分(0-5),5=已发出询价,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,居猫夫人,居猫夫人,韩国商务证据,4,分(0-5),5=有可点名韩国官方/品牌（这6人里没有5分）,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,橘七七,橘七七,粉量贴50万,1,分(0-5),5=当天主平台约50万,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,橘七七,橘七七,台湾优先,3,分(0-5),5=台湾表且非韩国籍,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,橘七七,橘七七,内容匹配店播,3,分(0-5),5=生活穿搭时尚视频,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,橘七七,橘七七,9月人在韩/能去,5,分(0-5),5=已在韩或高频赴韩,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,橘七七,橘七七,已对接,1,分(0-5),5=已发出询价,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,橘七七,橘七七,韩国商务证据,2,分(0-5),5=有可点名韩国官方/品牌（这6人里没有5分）,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,久木田,久木田,粉量贴50万,2,分(0-5),5=当天主平台约50万,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,久木田,久木田,台湾优先,3,分(0-5),5=台湾表且非韩国籍,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,久木田,久木田,内容匹配店播,2,分(0-5),5=生活穿搭时尚视频,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,久木田,久木田,9月人在韩/能去,2,分(0-5),5=已在韩或高频赴韩,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,久木田,久木田,已对接,1,分(0-5),5=已发出询价,人工对照名单+核验,2026-09-12
S1,六项条件人工打分,分组柱,久木田,久木田,韩国商务证据,2,分(0-5),5=有可点名韩国官方/品牌（这6人里没有5分）,人工对照名单+核验,2026-09-12
F,粉色含义,说明,名单原文,—,—,粉色标注的人员为实际进行过广告合作的账号,—,Excel备注原文，不是韩国合作,IMOK xlsx,名单
F,くるみ现场,说明,くるみ,2026-09-11,MUSINSA Reel,1,条,缩略图有MUSINSA字样，评论显示人在韩国，未证实付费,instagram.com/krm.__.mrk/reel/DdJPiT_hGDf/,2026-09-12
F,橘七七邮箱,说明,橘七七,联系方式,商务邮箱,maggieyue8@gmail.com,—,IG简介花体还原，按规则先不发,instagram.com/onfinitalin,2026-09-12
F,居猫估价,说明,居猫夫人,第三方一口价,视频笔记,45000,人民币,TooBigData，粗算可能超KRW 350万上限，必须实询,TooBigData 2026榜,2026
F,居猫估价,说明,居猫夫人,第三方一口价,图文笔记,23000,人民币,TooBigData，不是她亲口报价,TooBigData 2026榜,2026
F,居猫商单,说明,居猫夫人,第三方,商单数,82,单,未拆有多少是韩国本地广告,TooBigData 2026榜,2026
F,くるみ互动,说明,くるみ,2026-05,IG互动率,2.69,%,高于同层中位数0.77%,tri-as,2026-05
F,妄娜停更,说明,妄娜,2026-08,距上次YouTube上传,90,天,月均上传0.7，近30天0条,ReachRanking,2026-08
F,沁柔YouTube,说明,沁柔,2026-09-12,订阅,12.0,万,83条视频，近片约4个月前,YouTube @yuchinjou9654,2026-09-12
